Starting


T: 6.2 | S: 0344.4540 | V: 010.9567 | A: -10.4011 | F: -0.4514 | M 0.04340
T: 6.3 | S: 0345.4466 | V: 009.9264 | A: -10.3025 | F: -0.4472 | M 0.04340
T: 6.4 | S: 0346.3371 | V: 008.9051 | A: -10.2136 | F: -0.4433 | M 0.04340
T: 6.5 | S: 0347.1263 | V: 007.8916 | A: -10.1342 | F: -0.4399 | M 0.04340
T: 6.6 | S: 0347.8148 | V: 006.8852 | A: -10.0639 | F: -0.4368 | M 0.04340
T: 6.7 | S: 0348.4033 | V: 005.8850 | A: -10.0025 | F: -0.4341 | M 0.04340
T: 6.8 | S: 0348.8923 | V: 004.8900 | A: -09.9497 | F: -0.4319 | M 0.04340
T: 6.9 | S: 0349.2823 | V: 003.8995 | A: -09.9054 | F: -0.4299 | M 0.04340
T: 7.0 | S: 0349.5735 | V: 002.9125 | A: -09.8695 | F: -0.4284 | M 0.04340
T: 7.1 | S: 0349.7664 | V: 001.9284 | A: -09.8417 | F: -0.4272 | M 0.04340
T: 7.2 | S: 0349.8610 | V: 000.9462 | A: -09.8220 | F: -0.4263 | M 0.04340
T: 7.3 | S: 0349.8575 | V: -00.0349 | A: -09.8103 | F: -0.4258 | M 0.04340
================================================================================
Velocity went negative
